,,,Base Metal (wt %),,,,,,,,,,,,,,,,,,,,,,,,,,,,Reduction Conditions,,,Support type,,,,,,,,,,,,,,,,,,,,,,,,Operating Conditions,,,,,,,,Output
Code of papers,Reference,Data,Co,Ba-promoter,Ca-promoter,Cu-promoter,Ce,Mn,La,Ni,Pt,Mg,Ir,Au,K,Li,Ru,Rh,Pd,Sr-promoter,Y-promoter,Zr,Incipient to wetness impregnation,Wet impregnation,Co-impregnation,Co-precipitation,Sol-gel,Sequential impregnation, calcTemperature (oC),calc Time (h),red Temperature  (oC),red Time (h),red H2 %,γ-Al2O3(Gamma),α-Al2O3(Alpha),Mesoporous Al2O3 (MAl),La2O3,SBA-15,BaO,BaTiO3,CaO,MgO,Nanocrystalline MgO,MgAl2O4(nanocry),CeO2,SiO2,Si3N4,TiO2,PrO2,V2O5,ZrO2,Mesoporous nanocrystalline ZrO2,MnO,MCM-41,Y2O3,ZSM-5,H-ZSM-5,react Temperature (C),reac CH4 %vol,reac CO2 %vol,reac Ar %vol,reac N2 %vol,reac He %vol,GHSV (mgmin/mL),Time on stream (min),% CH4 Conversion
DR-8-2012,"DR-8-2012 Ordered mesoporous alumina supported nickel based
catalysts for carbon dioxide reforming of methane
Leilei Xu a,b, Huahua Zhao a,b, Huanling Song a, Lingjun Chou a,*",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,50,50,0,0,0,4,60,20.907
DR-8-2012,,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,50,50,0,0,0,4,60,35.6009
DR-8-2012,,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,50,50,0,0,0,4,60,53.5601
DR-8-2012,,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,50,50,0,0,0,4,60,75.873
DR-8-2012,,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,50,50,0,0,0,4,60,89.4785
DR-8-2012,,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,50,50,0,0,0,4,60,38.5034
DR-8-2012,,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,50,50,0,0,0,4,60,58.2766
DR-8-2012,,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,50,50,0,0,0,4,60,76.9615
DR-8-2012,,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,50,50,0,0,0,4,60,89.8413
DR-8-2012,,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,50,50,0,0,0,4,60,96.1905
DR-8-2012,,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,50,50,0,0,0,4,60,45.034
DR-8-2012,,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,50,50,0,0,0,4,60,62.9932
DR-8-2012,,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,50,50,0,0,0,4,60,80.0454
DR-8-2012,,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,50,50,0,0,0,4,60,90.7483
DR-8-2012,,23,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,50,50,0,0,0,4,60,94.195
